ID,LAT,LON,Mills,PLT_CN,Conserve,ELEV,Ownership,SWMills,PulpMills,AVG_val_ac,TG_val_ac,BioTot,BioPulp,BioPallet,BioSaw,BioLD,L_BioTot,L_BioPulp,L_BioPallet,L_BioSaw,L_BioLD,BioForestType,BioPulpLD,L_BioPulpLD,HarvTot,HarvPulp,HarvSawlog,HarvPallet,HarvLD,HarvSawPulp,ratioTot,ratioPulp,ratioSawlog_0,ratioSawlog,ratioPallet,ratioLD,ChoiceTot,ChoicePulp,ChoiceSawlog_0,ChoiceSawlog,ChoicePallet,ChoiceLD,County,PPI(2016),PricePulp_county,PriceSaw_county,PricePallet_county,PriceBolt_county,PriceBiomass_county,PricePulp_county0,PriceSaw_county0,PricePallet_county0,PriceBolt_county0,PriceBiomass_county0,near_dist,Distance.roadsegment.,Distance.Rail.,Distance.national_highway.,Distance.State.road.,Year,Conservation_Type,Coastal,Megarion,Area_ha,Area_ac
21,44.26227,-70.10719,22,7.04E+13,0,133.555557,NON-FOREST,21,6,1048,380.9700012,67.5119854,12.75109856,2.682293618,5.101448932,49.65943791,41.04181873,11.05996695,2.474473356,3.296693295,26.68515848,HW,62.41053647,37.74512482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Androscoggin,5.797583082,7.359642026,38.68153751,13.06406174,17.6402104,1.575756487,1.269432783,6.672010899,2.253363438,3.042683502,0.271795413,0.243274361,0.002912783,0.013450685,0.004774039,0.153926483,2006,0,0,Southern,2619.55,6473.050836
22,44.26711,-70.15145,22,7.58E+13,0,107.022385,FAMILY,21,6,1048,380.9700012,643.6584219,18.34405944,0,7.521588375,617.7927741,680.8990895,14.57666343,0,5.098643655,661.2237825,HW,636.1368335,675.8004761,43.4310084,0,0,0,43.4310084,0,0.063784794,0,0,0,0,0.065682768,1,0,0,0,0,1,Androscoggin,5.797583082,5.55150741,37.82490648,13.06406174,17.6402104,1.575756487,0.957555473,6.524254322,2.253363438,3.042683502,0.271795413,0.170399889,0.003180523,0.049305587,0.003198773,0.177725235,2006,0,0,Southern,3821.12,9442.200376
23,44.29082,-70.22152,23,7.06E+13,0,103.485672,FAMILY,22,6,1048,380.9700012,99.47394411,44.48140225,2.88154692,33.50699363,21.48554824,84.68204287,33.35292224,1.601706978,20.94509317,30.38402747,Mixed,65.96695049,63.73694992,8.89847923,0,0,0,8.89847923,0,0.105081065,0,0,0,0,0.292867008,1,0,0,0,0,1,Androscoggin,5.797583082,6.096535059,32.51400034,13.06406174,17.6402104,1.575756487,1.051564932,5.60819912,2.253363438,3.042683502,0.271795413,0.008316805,0.000167389,0.104000858,0.00016583,0.220629224,2006,0,0,Southern,6109.13,15095.98289
24,44.3924,-70.13072,22,7.04E+13,0,97.800049,NON-FOREST,21,7,1048,380.9700012,45.39713984,21.09389739,0.416955373,13.72544949,10.57779297,51.23288821,20.65270407,0.02898007,12.41447925,18.1657049,SW,31.67169036,38.81840897,7.58791193,0,0,0,7.58791193,0,0.148106269,0,0,0,0,0.417705339,1,0,0,0,0,1,Androscoggin,5.797583082,5.55150741,32.51400034,13.06406174,17.6402104,1.575756487,0.957555473,5.60819912,2.253363438,3.042683502,0.271795413,0.138094574,0.002777012,0.014964933,0.002748329,0.28388073,2006,0,0,Southern,4802.82,11868.03253
25,44.39405,-70.18732,23,7.06E+13,0,140.085114,FAMILY,22,7,1048,380.9700012,34.43997117,3.34612411,0.029223425,0.07489027,31.01895679,24.07058333,1.06231062,0.030397955,0.07354795,22.93472476,HW,34.3650809,23.99703598,0,0,0,0.00117453,0,0.00117453,0,0,0,0,0.038638454,0,0,0,0,0,1,0,Androscoggin,5.797583082,7.359642026,44.8217918,13.06406174,17.6402104,1.575756487,1.269432783,7.731116772,2.253363438,3.042683502,0.271795413,0.405332953,0.004988413,0.041647667,0.008148013,0.307458827,2006,0,0,Southern,5183.17,12807.88157
26,44.43918,-70.22884,19,7.58E+13,0,182.728775,NON-FOREST,18,5,1048,380.9700012,241.2051279,88.71967501,3.871533059,76.01345552,76.47199735,229.967334,85.64410372,3.502939633,68.99249865,75.33073166,Mixed,165.1916724,160.9748383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Androscoggin,5.797583082,6.163360007,35.7552751,13.06406174,17.6402104,1.575756487,1.063091278,6.167272568,2.253363438,3.042683502,0.271795413,0.022759344,0.000395594,0.046840703,0.000399063,0.366280933,2006,0,0,Southern,3646.75,9011.3109
27,45.59761,-68.3375,12,7.06E+13,0,129.036774,CORPORATE,12,3,412,156,36.07671306,6.998640198,0.141887419,2.383753707,26.69431916,123.5522797,50.77835651,6.419270253,34.48880327,38.28511992,SW,33.69295936,89.06347656,87.47556664,43.77971631,32.10504957,6.277382834,11.59080076,75.88476588,0.708004473,0.86217277,0.920131686,0.930883258,0.977896643,0.302749496,2,2,2,2,2,1,Aroostook,5.797583082,11.69590051,28.28898269,11.75992679,13.58069186,2.74394069,2.017375231,4.879444122,2.028418847,2.34247473,0.473290447,1.272785664,0.003092663,0.076194069,0.025267362,0.167129783,2006,0,0,Southern,4729.81,11687.62275
28,45.63567,-68.29952,13,7.04E+13,0,136.607895,CORPORATE,13,3,412,156,130.8151445,51.0279567,3.484665546,33.59016065,46.19702715,127.9394141,41.51458439,2.431815873,23.94562357,62.47920619,Mixed,97.22498385,103.9937897,16.28217904,0,0,0,16.28217904,0,0.127264762,0,0,0,0,0.260601567,1,0,0,0,0,1,Aroostook,5.797583082,10.41704209,28.28898269,11.75992679,13.58069186,2.74394069,1.796790481,4.879444122,2.028418847,2.34247473,0.473290447,0.885627151,0.010926213,0.104589911,0.014548048,0.191087987,2006,0,0,Southern,4343.31,10732.54876
29,45.65391,-68.14088,11,7.06E+13,1,114.30381,TIMO/REIT,11,3,412,156,39.54616424,6.924529675,0,3.105194776,29.51643979,13.81119401,3.600138089,0,2.607987638,7.603068287,SW,36.44096947,11.20320606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aroostook,5.797583082,11.69590051,28.28898269,11.75992679,13.58069186,2.74394069,2.017375231,4.879444122,2.028418847,2.34247473,0.473290447,1.813153386,9.09E-05,0.055108157,0.034225171,0.31959151,2006,0,0,Southern,4645.54,11479.37836
30,45.65948,-68.24093,12,7.58E+13,0,128.750031,CORPORATE,12,3,412,156,10.48649451,0.26892096,0,0.12681592,10.09075763,5.56733994,0,0,0,5.56733994,SW,10.35967859,5.567339897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aroostook,5.797583082,11.69590051,28.28898269,11.75992679,13.58069186,2.74394069,2.017375231,4.879444122,2.028418847,2.34247473,0.473290447,0.931260049,0.009583449,0.108699933,0.015378957,0.228674324,2006,0,0,Southern,3340.36,8254.200273
