LAT,LON,COUNTY,2001_TotB,2006_TotB,2011_TotB,2016_TotB,2001_PulpB,2006_PulpB,2011_PulpB,2016_PulpB,2001_PalletB,2006_PalletB,2011_PalletB,2016_PalletB,2001_SawB,2006_SawB,2011_SawB,2016_SawB,2001_LDB,2006_LDB,2011_LDB,2016_LDB,2001_TotH,2006_TotH,2011_TotH,2016_TotH,2001_PulpH,2006_PulpH,2011_PulpH,2016_PulpH,2001_PalletH,2006_PalletH,2011_PalletH,2016_PalletH,2001_SawH,2006_SawH,2011_SawH,2016_SawH,2001_LDH,2006_LDH,2011_LDH,2016_LDH
46.953344,-68.64234,Aroostook,0,117.4,47.4,57.9,0,41,6.9,7.4,0,0,0,0,0,5.591134229,4.135145726,3.510472928,0,70.7,36.4,47,0,NA,109.73181,0,0,NA,45.97572676,0,0,0,0,0,0,NA,4.909424135,0,0,NA,58.84665915,0
46.95474,-68.69584,Aroostook,180.7,192.8,194.5,173.6,52.9,58.9,60.3,67.4,5.8,6.5,7.2,8.3,27.33418308,31.26312502,32.70008036,38.90550285,100.4,102.7,101.5,67.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.95484,-68.45635,Aroostook,154.9,148.7,169.4,40.2,46.5,53.2,59.1,12.3,10.2,11.6,12.2,3.8,26.36466321,33.68222187,40.57175662,6.24575903,82.1,61.8,69.7,21.7,0,0,0,114.6610288,0,0,0,48.08244683,0,0,0,9.6,0,0,0,36.88930549,0,0,0,29.6892765
46.95804,-67.93423,Aroostook,79.3,107.7,161.3,184.3,22.1,27.9,46.2,56.7,0,0,0,0,1.745723306,4.290095329,9.607700025,15.1764695,55.5,75.5,105.5,112.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.95922,-69.54266,Aroostook,148.7,202.6,227.1,102.6,16.3,27.9,35.9,19.8,1.2,1.3,1.3,0,7.284406946,13.66536292,19.6213211,3.620978708,125,161,171.5,79.1,0,0,0,121.7147423,0,0,0,24.56086889,0,0,0,1.2,0,0,0,17.95473621,0,0,0,79.19913723
46.96615,-69.30667,Aroostook,131.4,96.2,128,24.3,12.1,16,20.9,7.8,3.1,4.1,4.9,2.2,7.579085456,10.93271743,16.36960088,5.877426066,111.8,69.4,90.7,10.6,0,0,0,79.73337168,0,0,0,15.14549265,0,0,0,2.8,0,0,0,12.30610357,0,0,0,52.28177546
46.96738,-68.209006,Aroostook,0,52.3,81.8,117.2,0,12.6,22.7,33.1,0,0,0,0,0,4.293448005,12.49391487,22.75005408,0,35.4,46.6,61.3,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0
46.96744,-69.06041,Aroostook,0,55.3,55.4,73,0,14.6,10.8,11.9,0,2.6,2.2,2.8,0,3.126405187,2.828182411,3.803697853,0,37.6,41.8,57.2,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0
46.96745,-68.34945,Aroostook,133.5,151.5,169.1,186.5,56.5,60.5,67.6,72.8,0,0,0,0,19.26860555,20.05063472,22.75602669,24.44975264,57.7,70.9,78.7,89.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.96859,-69.67165,Aroostook,0,31,33.1,45.9,0,1.5,4.7,7.5,0,0,0,0,0,0.701411288,1.331589765,4.188922273,0,28.8,27.1,34.2,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0
